group,arc_num
Network1_amp,6
Network2_amp,7
Network3_amp,7
Network4_amp,19
Network5_amp,5
Network5_cont,5
Network5_cont_p3n7,5
Network5_cont_p7n3,5
Network6_amp,8
Network6_cont,8
Network7_amp,6
Network7_cont,6
Network8_amp_amp,9
Network8_amp_cont,9
Network8_cont_amp,9
Network9_amp_amp,10
Network9_amp_cont,10
Network9_cont_amp,10
Alarm1,46
Alarm3,149
Alarm5,265
Alarm10,570
Child,25
Child3,79
Child5,126
Child10,257
Insurance,52
Insurance3,163
Insurance5,284
Insurance10,556
mildew,46
munin1,282
pigs,592
link,1125
Gene,972
G2_v1_confounders_numdata.csv,21
G2_v2_confounders_numdata.csv,25
G2_v3_confounders_numdata.csv,16
G2_v4_confounders_numdata.csv,16
G2_v5_confounders_numdata.csv,26
G3_v1_confounders_numdata.csv,19
G3_v2_confounders_numdata.csv,19
G3_v3_confounders_numdata.csv,26
G3_v4_confounders_numdata.csv,26
G3_v5_confounders_numdata.csv,19
G4_v1_confounders_numdata.csv,30
G4_v2_confounders_numdata.csv,23
G4_v3_confounders_numdata.csv,30
G4_v4_confounders_numdata.csv,23
G4_v5_confounders_numdata.csv,20
G5_v1_confounders_numdata.csv,32
G5_v2_confounders_numdata.csv,39
G5_v3_confounders_numdata.csv,29
G5_v4_confounders_numdata.csv,29
G5_v5_confounders_numdata.csv,35
G2_v1_numdata.csv,30
G2_v2_numdata.csv,35
G2_v3_numdata.csv,27
G2_v4_numdata.csv,26
G2_v5_numdata.csv,26
G3_v1_numdata.csv,35
G3_v2_numdata.csv,27
G3_v3_numdata.csv,36
G3_v4_numdata.csv,34
G3_v5_numdata.csv,32
G4_v1_numdata.csv,41
G4_v2_numdata.csv,33
G4_v3_numdata.csv,43
G4_v4_numdata.csv,35
G4_v5_numdata.csv,32
G5_v1_numdata.csv,47
G5_v2_numdata.csv,52
G5_v3_numdata.csv,42
G5_v4_numdata.csv,45
G5_v5_numdata.csv,49
Big_G3_v1_numdata.csv,188
Big_G3_v2_numdata.csv,184
Big_G3_v3_numdata.csv,178
Big_G3_v4_numdata.csv,184
Big_G3_v5_numdata.csv,183
HailFinder,66
HailFinder3,283
HailFinder5,458
HailFinder10,1017
jdk,11
postgres,15
sachs,18
real_auto_mpg,32
real_cites,24
real_yacht,27
dream4_1,176
dream4_2,249
dream4_3,195
dream4_4,211
networking,26
