dataset_name;varsortability;N_variables;N_obs;algo_name;algo_param;library_name;Error;fdr;tpr;fpr;shd;nnz;precision;recall;F1;gscore;runtime_second;experiment_time
G4_v5_confounders_numdata.csv;0.71875;17;500;pc;{'variant': 'original', 'alpha': 0.05, 'ci_test': 'fisherz', 'priori_knowledge': None};gCastle;No Error;0.7241;0.4;0.181;29;29;0.2667;0.4;0.32;0.0;4.48;Sat Mar 11 15:57:16 2023
G4_v2_numdata.csv;0.7802197802197802;21;500;pc;{'variant': 'original', 'alpha': 0.05, 'ci_test': 'fisherz', 'priori_knowledge': None};gCastle;No Error;0.3939;0.6061;0.0734;22;33;0.4878;0.6061;0.5405;0.0;4.64;Sat Mar 11 15:57:16 2023
G3_v2_confounders_numdata.csv;0.5;18;500;pc;{'variant': 'original', 'alpha': 0.05, 'ci_test': 'fisherz', 'priori_knowledge': None};gCastle;No Error;0.6923;0.4211;0.1343;23;26;0.2759;0.4211;0.3333;0.0;4.68;Sat Mar 11 15:57:16 2023
G2_v4_confounders_numdata.csv;0.8285714285714286;18;500;pc;{'variant': 'original', 'alpha': 0.05, 'ci_test': 'fisherz', 'priori_knowledge': None};gCastle;No Error;0.5926;0.6875;0.1168;19;27;0.3333;0.6875;0.449;0.0;4.94;Sat Mar 11 15:57:17 2023
G2_v4_numdata.csv;0.8090909090909091;21;500;pc;{'variant': 'original', 'alpha': 0.05, 'ci_test': 'fisherz', 'priori_knowledge': None};gCastle;No Error;0.4516;0.6538;0.0761;20;31;0.4595;0.6538;0.5397;0.0;5.45;Sat Mar 11 15:57:17 2023
G4_v4_confounders_numdata.csv;0.782608695652174;17;500;pc;{'variant': 'original', 'alpha': 0.05, 'ci_test': 'fisherz', 'priori_knowledge': None};gCastle;No Error;0.5312;0.6522;0.1504;23;32;0.4545;0.6522;0.5357;0.0;5.52;Sat Mar 11 15:57:17 2023
G5_v4_confounders_numdata.csv;0.7363636363636363;18;500;pc;{'variant': 'original', 'alpha': 0.05, 'ci_test': 'fisherz', 'priori_knowledge': None};gCastle;No Error;0.4545;0.6207;0.121;23;33;0.5455;0.6207;0.5806;0.1034;5.45;Sat Mar 11 15:57:17 2023
G5_v1_confounders_numdata.csv;0.7445652173913043;18;500;pc;{'variant': 'original', 'alpha': 0.05, 'ci_test': 'fisherz', 'priori_knowledge': None};gCastle;No Error;0.5333;0.4375;0.1322;31;30;0.4516;0.4375;0.4444;0.0;5.59;Sat Mar 11 15:57:17 2023
G4_v1_confounders_numdata.csv;0.7971014492753623;18;500;pc;{'variant': 'original', 'alpha': 0.05, 'ci_test': 'fisherz', 'priori_knowledge': None};gCastle;No Error;0.5455;0.5;0.1463;31;33;0.4545;0.5;0.4762;0.0;5.91;Sat Mar 11 15:57:18 2023
G4_v5_numdata.csv;0.7349397590361446;20;500;pc;{'variant': 'original', 'alpha': 0.05, 'ci_test': 'fisherz', 'priori_knowledge': None};gCastle;No Error;0.6316;0.4375;0.1519;39;38;0.359;0.4375;0.3944;0.0;6.62;Sat Mar 11 15:57:18 2023
