dataset_name;varsortability;N_variables;N_obs;algo_name;algo_param;library_name;Error;fdr;tpr;fpr;shd;nnz;precision;recall;F1;gscore;runtime_second;experiment_time
sim-13.Network1_amp.continuous;0.6666666666666666;5;500;pc;{'variant': 'original', 'alpha': 0.05, 'ci_test': 'fisherz', 'priori_knowledge': None};gCastle;No Error;0.4;0.8333;0.5;3;5;0.6667;0.6667;0.6667;0.3333;0.14;Sat Mar  4 11:48:53 2023
sim-41.Network1_amp.continuous;0.2083333333333333;5;500;pc;{'variant': 'original', 'alpha': 0.05, 'ci_test': 'fisherz', 'priori_knowledge': None};gCastle;No Error;0.1667;1.1667;0.25;1;6;0.6667;1.0;0.8;0.5;0.17;Sat Mar  4 11:48:53 2023
sim-59.Network1_amp.continuous;0.2916666666666667;5;500;pc;{'variant': 'original', 'alpha': 0.05, 'ci_test': 'fisherz', 'priori_knowledge': None};gCastle;No Error;0.2;1.0;0.25;1;5;0.8333;0.8333;0.8333;0.6667;0.12;Sat Mar  4 11:48:53 2023
sim-10.Network1_amp.continuous;0.1666666666666666;5;500;pc;{'variant': 'original', 'alpha': 0.05, 'ci_test': 'fisherz', 'priori_knowledge': None};gCastle;No Error;0.5;0.8333;0.75;3;6;0.5;0.5;0.5;0.0;0.17;Sat Mar  4 11:48:53 2023
sim-04.Network1_amp.continuous;0.25;5;500;pc;{'variant': 'original', 'alpha': 0.05, 'ci_test': 'fisherz', 'priori_knowledge': None};gCastle;No Error;0.2857;1.1667;0.5;2;7;0.6;1.0;0.75;0.3333;0.16;Sat Mar  4 11:48:53 2023
sim-60.Network1_amp.continuous;0.375;5;500;pc;{'variant': 'original', 'alpha': 0.05, 'ci_test': 'fisherz', 'priori_knowledge': None};gCastle;No Error;0.5;0.8333;0.75;3;6;0.5;0.5;0.5;0.0;0.16;Sat Mar  4 11:48:53 2023
sim-14.Network1_amp.continuous;0.7916666666666666;5;500;pc;{'variant': 'original', 'alpha': 0.05, 'ci_test': 'fisherz', 'priori_knowledge': None};gCastle;No Error;0.2;1.0;0.25;1;5;0.8333;0.8333;0.8333;0.6667;0.14;Sat Mar  4 11:48:53 2023
sim-11.Network2_amp.continuous;0.6363636363636364;5;500;pc;{'variant': 'original', 'alpha': 0.05, 'ci_test': 'fisherz', 'priori_knowledge': None};gCastle;No Error;0.0;1.2857;0.0;0;5;0.875;1.0;0.9333;0.8571;0.16;Sat Mar  4 11:48:53 2023
sim-16.Network2_amp.continuous;0.3939393939393939;5;500;pc;{'variant': 'original', 'alpha': 0.05, 'ci_test': 'fisherz', 'priori_knowledge': None};gCastle;No Error;0.5714;1.0;1.3333;4;7;0.4444;0.5714;0.5;0.0;0.17;Sat Mar  4 11:48:53 2023
sim-19.Network1_amp.continuous;0.4583333333333333;5;500;pc;{'variant': 'original', 'alpha': 0.05, 'ci_test': 'fisherz', 'priori_knowledge': None};gCastle;No Error;0.4286;1.0;0.75;3;7;0.5;0.8333;0.625;0.0;0.18;Sat Mar  4 11:48:53 2023
