dataset_name;varsortability;N_variables;N_obs;algo_name;algo_param;library_name;fdr;tpr;fpr;shd;nnz;precision;recall;F1;gscore;runtime_second;experiment_time
G4_v2_confounders_numdata.csv;0.7833333333333333;18;500;pc;{'variant': 'original', 'alpha': 0.05, 'ci_test': 'fisherz', 'priori_knowledge': None};gCastle;0.5517;0.5652;0.1231;22;29;0.3714;0.5652;0.4483;0.0;0.89;Tue Feb 28 18:07:00 2023
G5_v1_confounders_numdata.csv;0.7445652173913043;18;500;pc;{'variant': 'original', 'alpha': 0.05, 'ci_test': 'fisherz', 'priori_knowledge': None};gCastle;0.5333;0.4375;0.1322;31;30;0.4516;0.4375;0.4444;0.0;1.04;Tue Feb 28 18:07:01 2023
G3_v2_confounders_numdata.csv;0.5;18;500;pc;{'variant': 'original', 'alpha': 0.05, 'ci_test': 'fisherz', 'priori_knowledge': None};gCastle;0.6923;0.4211;0.1343;23;26;0.2759;0.4211;0.3333;0.0;1.23;Tue Feb 28 18:07:01 2023
G4_v5_confounders_numdata.csv;0.71875;17;500;pc;{'variant': 'original', 'alpha': 0.05, 'ci_test': 'fisherz', 'priori_knowledge': None};gCastle;0.7241;0.4;0.181;29;29;0.2667;0.4;0.32;0.0;1.21;Tue Feb 28 18:07:01 2023
G2_v4_confounders_numdata.csv;0.8285714285714286;18;500;pc;{'variant': 'original', 'alpha': 0.05, 'ci_test': 'fisherz', 'priori_knowledge': None};gCastle;0.5926;0.6875;0.1168;19;27;0.3333;0.6875;0.449;0.0;1.32;Tue Feb 28 18:07:01 2023
G5_v4_confounders_numdata.csv;0.7363636363636363;18;500;pc;{'variant': 'original', 'alpha': 0.05, 'ci_test': 'fisherz', 'priori_knowledge': None};gCastle;0.4545;0.6207;0.121;23;33;0.5455;0.6207;0.5806;0.1034;1.37;Tue Feb 28 18:07:01 2023
G4_v1_confounders_numdata.csv;0.7971014492753623;18;500;pc;{'variant': 'original', 'alpha': 0.05, 'ci_test': 'fisherz', 'priori_knowledge': None};gCastle;0.5455;0.5;0.1463;31;33;0.4545;0.5;0.4762;0.0;1.42;Tue Feb 28 18:07:01 2023
G2_v5_confounders_numdata.csv;0.6746031746031746;18;500;pc;{'variant': 'original', 'alpha': 0.05, 'ci_test': 'fisherz', 'priori_knowledge': None};gCastle;0.6452;0.4231;0.1575;32;31;0.3548;0.4231;0.386;0.0;1.47;Tue Feb 28 18:07:01 2023
G4_v3_confounders_numdata.csv;0.7901234567901234;17;500;pc;{'variant': 'original', 'alpha': 0.05, 'ci_test': 'fisherz', 'priori_knowledge': None};gCastle;0.697;0.3333;0.217;36;33;0.303;0.3333;0.3175;0.0;1.45;Tue Feb 28 18:07:01 2023
G5_v5_confounders_numdata.csv;0.6875;18;500;pc;{'variant': 'original', 'alpha': 0.05, 'ci_test': 'fisherz', 'priori_knowledge': None};gCastle;0.7188;0.2571;0.1949;41;32;0.2812;0.2571;0.2687;0.0;1.51;Tue Feb 28 18:07:01 2023
G4_v4_confounders_numdata.csv;0.782608695652174;17;500;pc;{'variant': 'original', 'alpha': 0.05, 'ci_test': 'fisherz', 'priori_knowledge': None};gCastle;0.5312;0.6522;0.1504;23;32;0.4545;0.6522;0.5357;0.0;1.62;Tue Feb 28 18:07:01 2023
G3_v5_confounders_numdata.csv;0.7727272727272727;17;500;pc;{'variant': 'original', 'alpha': 0.05, 'ci_test': 'fisherz', 'priori_knowledge': None};gCastle;0.8333;0.2632;0.2137;34;30;0.1613;0.2632;0.2;0.0;1.65;Tue Feb 28 18:07:01 2023
G3_v3_confounders_numdata.csv;0.7549019607843137;20;500;pc;{'variant': 'original', 'alpha': 0.05, 'ci_test': 'fisherz', 'priori_knowledge': None};gCastle;0.6364;0.4615;0.128;31;33;0.3636;0.4615;0.4068;0.0;1.67;Tue Feb 28 18:07:01 2023
G3_v1_confounders_numdata.csv;0.75;17;500;pc;{'variant': 'original', 'alpha': 0.05, 'ci_test': 'fisherz', 'priori_knowledge': None};gCastle;0.8667;0.2105;0.2222;33;30;0.1333;0.2105;0.1633;0.0;1.69;Tue Feb 28 18:07:01 2023
G2_v2_confounders_numdata.csv;0.7931034482758621;21;500;pc;{'variant': 'original', 'alpha': 0.05, 'ci_test': 'fisherz', 'priori_knowledge': None};gCastle;0.6111;0.56;0.1189;31;36;0.3784;0.56;0.4516;0.0;1.73;Tue Feb 28 18:07:01 2023
G3_v4_confounders_numdata.csv;0.8;18;500;pc;{'variant': 'original', 'alpha': 0.05, 'ci_test': 'fisherz', 'priori_knowledge': None};gCastle;0.6452;0.4231;0.1575;29;31;0.3333;0.4231;0.3729;0.0;1.72;Tue Feb 28 18:07:01 2023
G5_v3_confounders_numdata.csv;0.7547169811320755;18;500;pc;{'variant': 'original', 'alpha': 0.05, 'ci_test': 'fisherz', 'priori_knowledge': None};gCastle;0.6176;0.4483;0.1694;31;34;0.3714;0.4483;0.4062;0.0;1.76;Tue Feb 28 18:07:01 2023
G2_v3_confounders_numdata.csv;0.7105263157894737;19;500;pc;{'variant': 'original', 'alpha': 0.05, 'ci_test': 'fisherz', 'priori_knowledge': None};gCastle;0.7188;0.5625;0.1484;27;32;0.2812;0.5625;0.375;0.0;1.77;Tue Feb 28 18:07:01 2023
