dataset_name;varsortability;N_variables;N_obs;algo_name;algo_param;library_name;Error;fdr;tpr;fpr;shd;nnz;precision;recall;F1;gscore;runtime_second;experiment_time
sim-23.Network1_amp.continuous;0.4166666666666667;5;500;notears;{'lambda1': 0.1, 'loss_type': 'l2', 'max_iter': 100, 'h_tol': 1e-08, 'rho_max': 1e+16, 'w_threshold': 0.3};gCastle;No Error;0.4;0.8333;0.5;3;5;0.6;0.5;0.5455;0.1667;9.71;Sun Mar 12 11:42:10 2023
sim-06.Network1_amp.continuous;0.4166666666666667;5;500;notears;{'lambda1': 0.1, 'loss_type': 'l2', 'max_iter': 100, 'h_tol': 1e-08, 'rho_max': 1e+16, 'w_threshold': 0.3};gCastle;No Error;0.5;0.5;0.25;4;2;0.5;0.1667;0.25;0.0;11.37;Sun Mar 12 11:42:11 2023
sim-09.Network1_amp.continuous;0.375;5;500;notears;{'lambda1': 0.1, 'loss_type': 'l2', 'max_iter': 100, 'h_tol': 1e-08, 'rho_max': 1e+16, 'w_threshold': 0.3};gCastle;No Error;0.25;0.8333;0.25;2;4;0.75;0.5;0.6;0.3333;12.33;Sun Mar 12 11:42:12 2023
sim-07.Network1_amp.continuous;0.1666666666666666;5;500;notears;{'lambda1': 0.1, 'loss_type': 'l2', 'max_iter': 100, 'h_tol': 1e-08, 'rho_max': 1e+16, 'w_threshold': 0.3};gCastle;No Error;0.3333;0.6667;0.25;4;3;0.6667;0.3333;0.4444;0.1667;12.76;Sun Mar 12 11:42:13 2023
sim-54.Network1_amp.continuous;0.375;5;500;notears;{'lambda1': 0.1, 'loss_type': 'l2', 'max_iter': 100, 'h_tol': 1e-08, 'rho_max': 1e+16, 'w_threshold': 0.3};gCastle;No Error;0.6;0.6667;0.75;4;5;0.4;0.3333;0.3636;0.0;12.81;Sun Mar 12 11:42:13 2023
sim-60.Network1_amp.continuous;0.375;5;500;notears;{'lambda1': 0.1, 'loss_type': 'l2', 'max_iter': 100, 'h_tol': 1e-08, 'rho_max': 1e+16, 'w_threshold': 0.3};gCastle;No Error;0.3333;0.6667;0.25;3;3;0.6667;0.3333;0.4444;0.1667;12.85;Sun Mar 12 11:42:13 2023
sim-06.Network2_amp.continuous;0.3939393939393939;5;500;notears;{'lambda1': 0.1, 'loss_type': 'l2', 'max_iter': 100, 'h_tol': 1e-08, 'rho_max': 1e+16, 'w_threshold': 0.3};gCastle;No Error;0.0;0.8571;0.0;3;2;1.0;0.2857;0.4444;0.2857;13.3;Sun Mar 12 11:42:13 2023
sim-08.Network1_amp.continuous;0.25;5;500;notears;{'lambda1': 0.1, 'loss_type': 'l2', 'max_iter': 100, 'h_tol': 1e-08, 'rho_max': 1e+16, 'w_threshold': 0.3};gCastle;No Error;0.75;0.5;0.75;4;4;0.25;0.1667;0.2;0.0;13.98;Sun Mar 12 11:42:14 2023
sim-31.Network1_amp.continuous;0.25;5;500;notears;{'lambda1': 0.1, 'loss_type': 'l2', 'max_iter': 100, 'h_tol': 1e-08, 'rho_max': 1e+16, 'w_threshold': 0.3};gCastle;No Error;0.6;0.6667;0.75;4;5;0.4;0.3333;0.3636;0.0;14.45;Sun Mar 12 11:42:15 2023
sim-36.Network1_amp.continuous;0.7083333333333334;5;500;notears;{'lambda1': 0.1, 'loss_type': 'l2', 'max_iter': 100, 'h_tol': 1e-08, 'rho_max': 1e+16, 'w_threshold': 0.3};gCastle;No Error;0.0;1.1667;0.0;0;5;1.0;0.8333;0.9091;0.8333;14.52;Sun Mar 12 11:42:15 2023
sim-58.Network1_amp.continuous;0.4166666666666667;5;500;notears;{'lambda1': 0.1, 'loss_type': 'l2', 'max_iter': 100, 'h_tol': 1e-08, 'rho_max': 1e+16, 'w_threshold': 0.3};gCastle;No Error;0.25;0.8333;0.25;2;4;0.75;0.5;0.6;0.3333;15.0;Sun Mar 12 11:42:15 2023
sim-10.Network1_amp.continuous;0.1666666666666666;5;500;notears;{'lambda1': 0.1, 'loss_type': 'l2', 'max_iter': 100, 'h_tol': 1e-08, 'rho_max': 1e+16, 'w_threshold': 0.3};gCastle;No Error;0.75;0.5;0.75;4;4;0.25;0.1667;0.2;0.0;15.27;Sun Mar 12 11:42:15 2023
sim-45.Network1_amp.continuous;0.5;5;500;notears;{'lambda1': 0.1, 'loss_type': 'l2', 'max_iter': 100, 'h_tol': 1e-08, 'rho_max': 1e+16, 'w_threshold': 0.3};gCastle;No Error;0.0;1.0;0.0;1;4;1.0;0.6667;0.8;0.6667;15.41;Sun Mar 12 11:42:16 2023
sim-27.Network1_amp.continuous;0.5;5;500;notears;{'lambda1': 0.1, 'loss_type': 'l2', 'max_iter': 100, 'h_tol': 1e-08, 'rho_max': 1e+16, 'w_threshold': 0.3};gCastle;No Error;0.25;0.8333;0.25;2;4;0.75;0.5;0.6;0.3333;15.58;Sun Mar 12 11:42:16 2023
sim-33.Network1_amp.continuous;0.5416666666666666;5;500;notears;{'lambda1': 0.1, 'loss_type': 'l2', 'max_iter': 100, 'h_tol': 1e-08, 'rho_max': 1e+16, 'w_threshold': 0.3};gCastle;No Error;0.6667;0.5;0.5;4;3;0.3333;0.1667;0.2222;0.0;15.61;Sun Mar 12 11:42:16 2023
sim-10.Network2_amp.continuous;0.2727272727272727;5;500;notears;{'lambda1': 0.1, 'loss_type': 'l2', 'max_iter': 100, 'h_tol': 1e-08, 'rho_max': 1e+16, 'w_threshold': 0.3};gCastle;No Error;0.4;1.0;0.6667;2;5;0.6;0.4286;0.5;0.1429;15.7;Sun Mar 12 11:42:16 2023
sim-08.Network2_amp.continuous;0.303030303030303;5;500;notears;{'lambda1': 0.1, 'loss_type': 'l2', 'max_iter': 100, 'h_tol': 1e-08, 'rho_max': 1e+16, 'w_threshold': 0.3};gCastle;No Error;0.6667;0.8571;1.3333;4;6;0.3333;0.2857;0.3077;0.0;15.63;Sun Mar 12 11:42:16 2023
sim-37.Network1_amp.continuous;0.25;5;500;notears;{'lambda1': 0.1, 'loss_type': 'l2', 'max_iter': 100, 'h_tol': 1e-08, 'rho_max': 1e+16, 'w_threshold': 0.3};gCastle;No Error;0.6;0.6667;0.75;4;5;0.4;0.3333;0.3636;0.0;15.71;Sun Mar 12 11:42:16 2023
