dataset_name;varsortability;N_variables;N_obs;algo_name;algo_param;library_name;Error;fdr;tpr;fpr;shd;nnz;precision;recall;F1;gscore;runtime_second;experiment_time
sim-20.Network2_amp.continuous;0.303030303030303;5;500;notearslowrank;{'w_init': None, 'max_iter': 15, 'h_tol': 1e-06, 'rho_max': 1e+20, 'w_threshold': 0.3};gCastle;No Error;0.4;1.0;0.6667;3;5;0.6;0.4286;0.5;0.1429;16.08;Sun Mar 12 12:14:56 2023
sim-14.Network1_amp.continuous;0.7916666666666666;5;500;notearslowrank;{'w_init': None, 'max_iter': 15, 'h_tol': 1e-06, 'rho_max': 1e+20, 'w_threshold': 0.3};gCastle;No Error;0.4;0.8333;0.5;2;5;0.6;0.5;0.5455;0.1667;16.35;Sun Mar 12 12:14:57 2023
sim-37.Network1_amp.continuous;0.25;5;500;notearslowrank;{'w_init': None, 'max_iter': 15, 'h_tol': 1e-06, 'rho_max': 1e+20, 'w_threshold': 0.3};gCastle;No Error;0.8;0.5;1.0;4;5;0.2;0.1667;0.1818;0.0;16.93;Sun Mar 12 12:14:57 2023
sim-03.Network2_amp.continuous;0.5757575757575758;5;500;notearslowrank;{'w_init': None, 'max_iter': 15, 'h_tol': 1e-06, 'rho_max': 1e+20, 'w_threshold': 0.3};gCastle;No Error;0.4286;1.1429;1.0;3;7;0.5714;0.5714;0.5714;0.1429;18.7;Sun Mar 12 12:14:59 2023
sim-06.Network2_amp.continuous;0.3939393939393939;5;500;notearslowrank;{'w_init': None, 'max_iter': 15, 'h_tol': 1e-06, 'rho_max': 1e+20, 'w_threshold': 0.3};gCastle;No Error;0.0;1.0;0.0;2;3;1.0;0.4286;0.6;0.4286;18.87;Sun Mar 12 12:14:59 2023
sim-55.Network1_amp.continuous;0.2916666666666667;5;500;notearslowrank;{'w_init': None, 'max_iter': 15, 'h_tol': 1e-06, 'rho_max': 1e+20, 'w_threshold': 0.3};gCastle;No Error;0.4;0.8333;0.5;3;5;0.6;0.5;0.5455;0.1667;19.03;Sun Mar 12 12:14:59 2023
sim-12.Network1_amp.continuous;0.2916666666666667;5;500;notearslowrank;{'w_init': None, 'max_iter': 15, 'h_tol': 1e-06, 'rho_max': 1e+20, 'w_threshold': 0.3};gCastle;No Error;0.4;0.8333;0.5;2;5;0.6;0.5;0.5455;0.1667;21.25;Sun Mar 12 12:15:01 2023
sim-28.Network1_amp.continuous;0.25;5;500;notearslowrank;{'w_init': None, 'max_iter': 15, 'h_tol': 1e-06, 'rho_max': 1e+20, 'w_threshold': 0.3};gCastle;No Error;0.6667;0.5;0.5;5;3;0.3333;0.1667;0.2222;0.0;21.54;Sun Mar 12 12:15:02 2023
sim-18.Network1_amp.continuous;0.25;5;500;notearslowrank;{'w_init': None, 'max_iter': 15, 'h_tol': 1e-06, 'rho_max': 1e+20, 'w_threshold': 0.3};gCastle;No Error;0.75;0.5;0.75;6;4;0.25;0.1667;0.2;0.0;24.14;Sun Mar 12 12:15:04 2023
sim-23.Network1_amp.continuous;0.4166666666666667;5;500;notearslowrank;{'w_init': None, 'max_iter': 15, 'h_tol': 1e-06, 'rho_max': 1e+20, 'w_threshold': 0.3};gCastle;No Error;0.4;0.8333;0.5;3;5;0.6;0.5;0.5455;0.1667;25.23;Sun Mar 12 12:15:05 2023
