dataset_name;varsortability;N_variables;N_obs;algo_name;algo_param;library_name;Error;fdr;tpr;fpr;shd;nnz;precision;recall;F1;gscore;runtime_second;experiment_time
sim-59.Network1_amp.continuous;0.2916666666666667;5;500;pc;{'variant': 'stable', 'alpha': 0.05, 'ci_test': 'fisherz', 'priori_knowledge': None};gCastle;No Error;0.2;1.0;0.25;1;5;0.8333;0.8333;0.8333;0.6667;0.36;Sun Mar 19 19:43:54 2023
sim-41.Network1_amp.continuous;0.2083333333333333;5;500;pc;{'variant': 'stable', 'alpha': 0.05, 'ci_test': 'fisherz', 'priori_knowledge': None};gCastle;No Error;0.1667;1.1667;0.25;1;6;0.6667;1.0;0.8;0.5;0.48;Sun Mar 19 19:43:54 2023
sim-58.Network1_amp.continuous;0.4166666666666667;5;500;pc;{'variant': 'stable', 'alpha': 0.05, 'ci_test': 'fisherz', 'priori_knowledge': None};gCastle;No Error;0.3333;1.0;0.5;2;6;0.7143;0.8333;0.7692;0.5;0.37;Sun Mar 19 19:43:54 2023
sim-30.Network1_amp.continuous;0.375;5;500;pc;{'variant': 'stable', 'alpha': 0.05, 'ci_test': 'fisherz', 'priori_knowledge': None};gCastle;No Error;0.1667;1.1667;0.25;1;6;0.6667;1.0;0.8;0.5;0.37;Sun Mar 19 19:43:54 2023
sim-18.Network1_amp.continuous;0.25;5;500;pc;{'variant': 'stable', 'alpha': 0.05, 'ci_test': 'fisherz', 'priori_knowledge': None};gCastle;No Error;0.1667;1.1667;0.25;1;6;0.6667;1.0;0.8;0.5;0.43;Sun Mar 19 19:43:54 2023
sim-01.Network1_amp.continuous;0.375;5;500;pc;{'variant': 'stable', 'alpha': 0.05, 'ci_test': 'fisherz', 'priori_knowledge': None};gCastle;No Error;0.5714;0.8333;1.0;4;7;0.4286;0.5;0.4615;0.0;0.43;Sun Mar 19 19:43:54 2023
sim-37.Network1_amp.continuous;0.25;5;500;pc;{'variant': 'stable', 'alpha': 0.05, 'ci_test': 'fisherz', 'priori_knowledge': None};gCastle;No Error;0.0;1.1667;0.0;0;5;0.75;1.0;0.8571;0.6667;0.39;Sun Mar 19 19:43:54 2023
sim-47.Network1_amp.continuous;0.1666666666666666;5;500;pc;{'variant': 'stable', 'alpha': 0.05, 'ci_test': 'fisherz', 'priori_knowledge': None};gCastle;No Error;0.2;1.0;0.25;1;5;0.8333;0.8333;0.8333;0.6667;0.44;Sun Mar 19 19:43:54 2023
sim-48.Network1_amp.continuous;0.25;5;500;pc;{'variant': 'stable', 'alpha': 0.05, 'ci_test': 'fisherz', 'priori_knowledge': None};gCastle;No Error;0.1667;1.1667;0.25;1;6;0.6667;1.0;0.8;0.5;0.44;Sun Mar 19 19:43:54 2023
sim-56.Network1_amp.continuous;0.1666666666666666;5;500;pc;{'variant': 'stable', 'alpha': 0.05, 'ci_test': 'fisherz', 'priori_knowledge': None};gCastle;No Error;0.1667;1.1667;0.25;1;6;0.6667;1.0;0.8;0.5;0.51;Sun Mar 19 19:43:54 2023
sim-27.Network1_amp.continuous;0.5;5;500;pc;{'variant': 'stable', 'alpha': 0.05, 'ci_test': 'fisherz', 'priori_knowledge': None};gCastle;No Error;0.3333;1.0;0.5;2;6;0.7143;0.8333;0.7692;0.5;0.4;Sun Mar 19 19:43:54 2023
sim-60.Network1_amp.continuous;0.375;5;500;pc;{'variant': 'stable', 'alpha': 0.05, 'ci_test': 'fisherz', 'priori_knowledge': None};gCastle;No Error;0.5;0.8333;0.75;3;6;0.5;0.5;0.5;0.0;0.46;Sun Mar 19 19:43:54 2023
sim-49.Network1_amp.continuous;0.5;5;500;pc;{'variant': 'stable', 'alpha': 0.05, 'ci_test': 'fisherz', 'priori_knowledge': None};gCastle;No Error;0.2857;1.1667;0.5;2;7;0.6;1.0;0.75;0.3333;0.45;Sun Mar 19 19:43:54 2023
sim-35.Network1_amp.continuous;0.25;5;500;pc;{'variant': 'stable', 'alpha': 0.05, 'ci_test': 'fisherz', 'priori_knowledge': None};gCastle;No Error;0.1667;1.1667;0.25;1;6;0.6667;1.0;0.8;0.5;0.43;Sun Mar 19 19:43:54 2023
sim-25.Network1_amp.continuous;0.25;5;500;pc;{'variant': 'stable', 'alpha': 0.05, 'ci_test': 'fisherz', 'priori_knowledge': None};gCastle;No Error;0.3333;1.0;0.5;2;6;0.5556;0.8333;0.6667;0.1667;0.45;Sun Mar 19 19:43:54 2023
sim-23.Network1_amp.continuous;0.4166666666666667;5;500;pc;{'variant': 'stable', 'alpha': 0.05, 'ci_test': 'fisherz', 'priori_knowledge': None};gCastle;No Error;0.2857;1.1667;0.5;2;7;0.6;1.0;0.75;0.3333;0.43;Sun Mar 19 19:43:54 2023
sim-43.Network1_amp.continuous;0.375;5;500;pc;{'variant': 'stable', 'alpha': 0.05, 'ci_test': 'fisherz', 'priori_knowledge': None};gCastle;No Error;0.5;0.8333;0.75;3;6;0.5;0.5;0.5;0.0;0.46;Sun Mar 19 19:43:54 2023
sim-38.Network1_amp.continuous;0.2083333333333333;5;500;pc;{'variant': 'stable', 'alpha': 0.05, 'ci_test': 'fisherz', 'priori_knowledge': None};gCastle;No Error;0.5;0.8333;0.75;4;6;0.5;0.5;0.5;0.0;0.42;Sun Mar 19 19:43:54 2023
sim-06.Network1_amp.continuous;0.4166666666666667;5;500;pc;{'variant': 'stable', 'alpha': 0.05, 'ci_test': 'fisherz', 'priori_knowledge': None};gCastle;No Error;0.4286;1.0;0.75;3;7;0.625;0.8333;0.7143;0.3333;0.38;Sun Mar 19 19:43:54 2023
sim-55.Network1_amp.continuous;0.2916666666666667;5;500;pc;{'variant': 'stable', 'alpha': 0.05, 'ci_test': 'fisherz', 'priori_knowledge': None};gCastle;No Error;0.4286;1.0;0.75;3;7;0.5714;0.6667;0.6154;0.1667;0.45;Sun Mar 19 19:43:54 2023
sim-11.Network2_amp.continuous;0.6363636363636364;5;500;pc;{'variant': 'stable', 'alpha': 0.05, 'ci_test': 'fisherz', 'priori_knowledge': None};gCastle;No Error;0.0;1.2857;0.0;0;5;1.0;1.0;1.0;1.0;0.47;Sun Mar 19 19:43:54 2023
sim-02.Network1_amp.continuous;0.25;5;500;pc;{'variant': 'stable', 'alpha': 0.05, 'ci_test': 'fisherz', 'priori_knowledge': None};gCastle;No Error;0.2857;1.1667;0.5;2;7;0.5455;1.0;0.7059;0.1667;0.47;Sun Mar 19 19:43:54 2023
sim-08.Network1_amp.continuous;0.25;5;500;pc;{'variant': 'stable', 'alpha': 0.05, 'ci_test': 'fisherz', 'priori_knowledge': None};gCastle;No Error;0.3333;1.0;0.5;2;6;0.7143;0.8333;0.7692;0.5;0.45;Sun Mar 19 19:43:54 2023
sim-22.Network1_amp.continuous;0.25;5;500;pc;{'variant': 'stable', 'alpha': 0.05, 'ci_test': 'fisherz', 'priori_knowledge': None};gCastle;No Error;0.0;1.1667;0.0;0;5;0.75;1.0;0.8571;0.6667;0.4;Sun Mar 19 19:43:54 2023
sim-40.Network1_amp.continuous;0.4583333333333333;5;500;pc;{'variant': 'stable', 'alpha': 0.05, 'ci_test': 'fisherz', 'priori_knowledge': None};gCastle;No Error;0.2;1.0;0.25;1;5;0.8333;0.8333;0.8333;0.6667;0.53;Sun Mar 19 19:43:54 2023
sim-12.Network1_amp.continuous;0.2916666666666667;5;500;pc;{'variant': 'stable', 'alpha': 0.05, 'ci_test': 'fisherz', 'priori_knowledge': None};gCastle;No Error;0.0;1.1667;0.0;0;5;0.8571;1.0;0.9231;0.8333;0.47;Sun Mar 19 19:43:54 2023
sim-04.Network1_amp.continuous;0.25;5;500;pc;{'variant': 'stable', 'alpha': 0.05, 'ci_test': 'fisherz', 'priori_knowledge': None};gCastle;No Error;0.2857;1.1667;0.5;2;7;0.6;1.0;0.75;0.3333;0.48;Sun Mar 19 19:43:54 2023
sim-50.Network1_amp.continuous;0.5;5;500;pc;{'variant': 'stable', 'alpha': 0.05, 'ci_test': 'fisherz', 'priori_knowledge': None};gCastle;No Error;0.5;0.8333;0.75;3;6;0.5;0.5;0.5;0.0;0.45;Sun Mar 19 19:43:54 2023
sim-21.Network1_amp.continuous;0.5;5;500;pc;{'variant': 'stable', 'alpha': 0.05, 'ci_test': 'fisherz', 'priori_knowledge': None};gCastle;No Error;0.0;1.1667;0.0;0;5;0.6;1.0;0.75;0.3333;0.48;Sun Mar 19 19:43:54 2023
sim-20.Network2_amp.continuous;0.303030303030303;5;500;pc;{'variant': 'stable', 'alpha': 0.05, 'ci_test': 'fisherz', 'priori_knowledge': None};gCastle;No Error;0.5;1.1429;1.3333;4;8;0.6;0.8571;0.7059;0.2857;0.5;Sun Mar 19 19:43:54 2023
sim-31.Network1_amp.continuous;0.25;5;500;pc;{'variant': 'stable', 'alpha': 0.05, 'ci_test': 'fisherz', 'priori_knowledge': None};gCastle;No Error;0.2857;1.1667;0.5;2;7;0.6;1.0;0.75;0.3333;0.42;Sun Mar 19 19:43:54 2023
sim-34.Network1_amp.continuous;0.5833333333333334;5;500;pc;{'variant': 'stable', 'alpha': 0.05, 'ci_test': 'fisherz', 'priori_knowledge': None};gCastle;No Error;0.2857;1.1667;0.5;2;7;0.6;1.0;0.75;0.3333;0.44;Sun Mar 19 19:43:54 2023
sim-09.Network2_amp.continuous;0.2727272727272727;5;500;pc;{'variant': 'stable', 'alpha': 0.05, 'ci_test': 'fisherz', 'priori_knowledge': None};gCastle;No Error;0.2857;1.2857;0.6667;2;7;0.7;1.0;0.8235;0.5714;0.42;Sun Mar 19 19:43:54 2023
sim-45.Network1_amp.continuous;0.5;5;500;pc;{'variant': 'stable', 'alpha': 0.05, 'ci_test': 'fisherz', 'priori_knowledge': None};gCastle;No Error;0.1667;1.1667;0.25;1;6;0.6667;1.0;0.8;0.5;0.41;Sun Mar 19 19:43:54 2023
sim-10.Network1_amp.continuous;0.1666666666666666;5;500;pc;{'variant': 'stable', 'alpha': 0.05, 'ci_test': 'fisherz', 'priori_knowledge': None};gCastle;No Error;0.5;0.8333;0.75;3;6;0.5;0.5;0.5;0.0;0.49;Sun Mar 19 19:43:54 2023
sim-09.Network1_amp.continuous;0.375;5;500;pc;{'variant': 'stable', 'alpha': 0.05, 'ci_test': 'fisherz', 'priori_knowledge': None};gCastle;No Error;0.1667;1.1667;0.25;1;6;0.75;1.0;0.8571;0.6667;0.47;Sun Mar 19 19:43:54 2023
sim-08.Network2_amp.continuous;0.303030303030303;5;500;pc;{'variant': 'stable', 'alpha': 0.05, 'ci_test': 'fisherz', 'priori_knowledge': None};gCastle;No Error;0.2;1.1429;0.3333;2;5;0.6667;0.5714;0.6154;0.2857;0.52;Sun Mar 19 19:43:54 2023
sim-28.Network1_amp.continuous;0.25;5;500;pc;{'variant': 'stable', 'alpha': 0.05, 'ci_test': 'fisherz', 'priori_knowledge': None};gCastle;No Error;0.2857;1.1667;0.5;2;7;0.5455;1.0;0.7059;0.1667;0.47;Sun Mar 19 19:43:54 2023
sim-14.Network2_amp.continuous;0.4242424242424242;5;500;pc;{'variant': 'stable', 'alpha': 0.05, 'ci_test': 'fisherz', 'priori_knowledge': None};gCastle;No Error;0.2;1.1429;0.3333;2;5;0.6667;0.5714;0.6154;0.2857;0.51;Sun Mar 19 19:43:54 2023
