dataset_name;varsortability;N_variables;N_obs;algo_name;algo_param;library_name;Error;fdr;tpr;fpr;shd;nnz;precision;recall;F1;gscore;runtime_second;experiment_time
G4_v2_confounders_numdata.csv;0.7833333333333333;18;500;pc;{'variant': 'stable', 'alpha': 0.05, 'ci_test': 'fisherz', 'priori_knowledge': None};gCastle;No Error;0.5714;0.5217;0.1231;22;28;0.375;0.5217;0.4364;0.0;0.78;Sun Mar 19 20:00:12 2023
G2_v4_numdata.csv;0.8090909090909091;21;500;pc;{'variant': 'stable', 'alpha': 0.05, 'ci_test': 'fisherz', 'priori_knowledge': None};gCastle;No Error;0.4516;0.6538;0.0761;19;31;0.4595;0.6538;0.5397;0.0;1.04;Sun Mar 19 20:00:12 2023
G4_v5_confounders_numdata.csv;0.71875;17;500;pc;{'variant': 'stable', 'alpha': 0.05, 'ci_test': 'fisherz', 'priori_knowledge': None};gCastle;No Error;0.7037;0.4;0.1638;27;27;0.2759;0.4;0.3265;0.0;0.82;Sun Mar 19 20:00:12 2023
G5_v5_confounders_numdata.csv;0.6875;18;500;pc;{'variant': 'stable', 'alpha': 0.05, 'ci_test': 'fisherz', 'priori_knowledge': None};gCastle;No Error;0.6667;0.2857;0.1695;37;30;0.3333;0.2857;0.3077;0.0;1.6;Sun Mar 19 20:00:13 2023
G4_v4_confounders_numdata.csv;0.782608695652174;17;500;pc;{'variant': 'stable', 'alpha': 0.05, 'ci_test': 'fisherz', 'priori_knowledge': None};gCastle;No Error;0.4643;0.6522;0.115;19;28;0.5172;0.6522;0.5769;0.0435;1.07;Sun Mar 19 20:00:13 2023
G2_v3_confounders_numdata.csv;0.7105263157894737;19;500;pc;{'variant': 'stable', 'alpha': 0.05, 'ci_test': 'fisherz', 'priori_knowledge': None};gCastle;No Error;0.6154;0.625;0.1032;19;26;0.3846;0.625;0.4762;0.0;1.58;Sun Mar 19 20:00:13 2023
G5_v3_numdata.csv;0.7935779816513762;21;500;pc;{'variant': 'stable', 'alpha': 0.05, 'ci_test': 'fisherz', 'priori_knowledge': None};gCastle;No Error;0.3514;0.5714;0.0774;26;37;0.6154;0.5714;0.5926;0.2143;2.04;Sun Mar 19 20:00:13 2023
G3_v1_confounders_numdata.csv;0.75;17;500;pc;{'variant': 'stable', 'alpha': 0.05, 'ci_test': 'fisherz', 'priori_knowledge': None};gCastle;No Error;0.8462;0.2105;0.188;29;26;0.1538;0.2105;0.1778;0.0;1.71;Sun Mar 19 20:00:13 2023
G2_v5_confounders_numdata.csv;0.6746031746031746;18;500;pc;{'variant': 'stable', 'alpha': 0.05, 'ci_test': 'fisherz', 'priori_knowledge': None};gCastle;No Error;0.4783;0.4615;0.0866;23;23;0.4615;0.4615;0.4615;0.0;1.3;Sun Mar 19 20:00:14 2023
G5_v5_numdata.csv;0.7207792207792207;21;500;pc;{'variant': 'stable', 'alpha': 0.05, 'ci_test': 'fisherz', 'priori_knowledge': None};gCastle;No Error;0.5625;0.2857;0.1118;45;32;0.4375;0.2857;0.3457;0.0;2.51;Sun Mar 19 20:00:14 2023
G3_v2_confounders_numdata.csv;0.5;18;500;pc;{'variant': 'stable', 'alpha': 0.05, 'ci_test': 'fisherz', 'priori_knowledge': None};gCastle;No Error;0.68;0.4211;0.1269;20;25;0.2857;0.4211;0.3404;0.0;0.87;Sun Mar 19 20:00:14 2023
G2_v1_confounders_numdata.csv;0.7948717948717948;19;500;pc;{'variant': 'stable', 'alpha': 0.05, 'ci_test': 'fisherz', 'priori_knowledge': None};gCastle;No Error;0.6296;0.4762;0.1133;23;27;0.3571;0.4762;0.4082;0.0;1.54;Sun Mar 19 20:00:15 2023
G2_v5_numdata.csv;0.7288135593220338;22;500;pc;{'variant': 'stable', 'alpha': 0.05, 'ci_test': 'fisherz', 'priori_knowledge': None};gCastle;No Error;0.5862;0.4615;0.0829;27;29;0.3636;0.4615;0.4068;0.0;1.96;Sun Mar 19 20:00:15 2023
G4_v1_numdata.csv;0.8404255319148937;21;500;pc;{'variant': 'stable', 'alpha': 0.05, 'ci_test': 'fisherz', 'priori_knowledge': None};gCastle;No Error;0.4706;0.439;0.0947;33;34;0.5294;0.439;0.48;0.0488;1.87;Sun Mar 19 20:00:15 2023
